Timestamp_S,X,Y,Z
4.65276,0.050544,-0.165516,0.989118
4.65323,0.051246,-0.164814,0.991536
4.65373,0.047736,-0.164658,0.992394
4.65423,0.047970,-0.163644,0.989664
4.65473,0.049218,-0.164190,0.991380
4.65523,0.052182,-0.164892,0.990834
4.65573,0.048360,-0.164814,0.988104
4.65623,0.048828,-0.163878,0.993408
4.65673,0.047034,-0.160914,0.990756
4.65723,0.046800,-0.165048,0.993486
4.65773,0.050232,-0.163410,0.991068
4.65823,0.051792,-0.161772,0.991146
4.65873,0.049530,-0.159822,0.992238
4.65923,0.047814,-0.163332,0.995826
4.65973,0.046722,-0.165048,0.992550
4.66023,0.048438,-0.163878,0.990600
4.66073,0.050232,-0.160056,0.990366
4.66123,0.046488,-0.159900,0.991926
4.66173,0.045474,-0.161382,0.989118
4.66214,0.050778,-0.162708,0.990132
4.66264,0.050778,-0.163800,0.990756
4.66314,0.049530,-0.161616,0.990990
4.66364,0.048438,-0.162162,0.991224
4.66414,0.048516,-0.158964,0.991302
4.66464,0.047502,-0.159510,0.994734
4.66514,0.048828,-0.158340,0.991458
4.66564,0.051246,-0.155454,0.991068
4.66614,0.047892,-0.160290,0.989196
4.66664,0.052962,-0.159276,0.990912
4.66714,0.049374,-0.160446,0.990132
4.66764,0.048438,-0.159666,0.991302
4.66814,0.049686,-0.159120,0.989976
4.66864,0.052884,-0.157716,0.991848
4.66914,0.051714,-0.162006,0.994266
4.66964,0.048048,-0.163566,0.995748
4.67014,0.045240,-0.163254,0.992706
4.67064,0.046566,-0.163644,0.991926
4.67111,0.047502,-0.161148,0.992082
4.67161,0.048126,-0.164034,0.992862
4.67211,0.049764,-0.164502,0.990522
4.67261,0.048204,-0.163644,0.993018
4.67311,0.047346,-0.165438,0.991692
4.67361,0.050154,-0.165438,0.990132
4.67411,0.048984,-0.164112,0.990054
4.67461,0.047424,-0.162864,0.989040
4.67511,0.050076,-0.161850,0.988494
4.67561,0.050544,-0.164736,0.991536
4.67611,0.049920,-0.163176,0.990756
4.67661,0.053430,-0.161538,0.989352
4.67711,0.049920,-0.163722,0.992394
4.67761,0.048828,-0.163098,0.990210
4.67811,0.051948,-0.160914,0.988650
4.67861,0.050388,-0.163956,0.990912
4.67911,0.049686,-0.162006,0.989664
4.67961,0.051168,-0.162162,0.989664
4.68005,0.048204,-0.159198,0.989586
4.68055,0.045240,-0.160368,0.994734
4.68105,0.048126,-0.162396,0.993330
4.68155,0.049920,-0.160602,0.989820
4.68205,0.050154,-0.158964,0.989352
4.68255,0.050544,-0.157560,0.989976
4.68305,0.048204,-0.161226,0.995748
4.68355,0.046566,-0.158106,0.992472
4.68405,0.047268,-0.162162,0.990288
4.68455,0.047736,-0.157326,0.990522
4.68505,0.049608,-0.157404,0.992316
4.68555,0.049140,-0.159588,0.989040
4.68605,0.051168,-0.162786,0.989352
4.68655,0.051636,-0.161850,0.994734
4.68705,0.052026,-0.163566,0.991614
4.68755,0.050310,-0.158028,0.990678
4.68805,0.049764,-0.159354,0.990210
4.68855,0.049296,-0.162864,0.990288
4.68900,0.050388,-0.162630,0.992394
4.68950,0.049608,-0.164970,0.992472
4.69000,0.048672,-0.165672,0.992472
4.69050,0.053976,-0.161616,0.988884
4.69100,0.052728,-0.164034,0.988572
4.69150,0.054054,-0.164424,0.989352
4.69200,0.056160,-0.160758,0.988182
4.69250,0.051714,-0.164268,0.990366
4.69300,0.052338,-0.168324,0.991614
4.69350,0.052182,-0.166530,0.994578
4.69400,0.051870,-0.162786,0.994344
4.69450,0.050778,-0.165360,0.991692
4.69500,0.051480,-0.169650,0.987246
4.69550,0.052338,-0.166296,0.985920
4.69600,0.050076,-0.166998,0.989196
4.69650,0.052104,-0.165594,0.992940
4.69700,0.052572,-0.162318,0.991614
4.69750,0.054600,-0.163722,0.992238
4.69794,0.051870,-0.161148,0.988962
4.69844,0.049452,-0.164580,0.991770
4.69894,0.047580,-0.165750,0.992394
4.69944,0.050232,-0.165438,0.990054
4.69994,0.049764,-0.163410,0.989352
4.70044,0.052728,-0.161148,0.986154
4.70094,0.052572,-0.157560,0.990756
4.70144,0.051324,-0.159900,0.988962
4.70194,0.048048,-0.162708,0.988962
4.70244,0.051402,-0.161460,0.993330
4.70294,0.051948,-0.161694,0.994344
4.70344,0.047346,-0.163488,0.993720
4.70394,0.049686,-0.162474,0.992628
4.70444,0.053352,-0.161616,0.990132
4.70494,0.051636,-0.160602,0.988650
4.70544,0.048906,-0.163488,0.988182
4.70594,0.049140,-0.158964,0.990522
4.70644,0.047970,-0.160056,0.989040
4.70688,0.051402,-0.163878,0.989196
4.70738,0.050544,-0.160290,0.992784
4.70788,0.051558,-0.158964,0.990756
4.70838,0.051324,-0.159510,0.994032
4.70888,0.048828,-0.161226,0.992550
4.70938,0.050154,-0.163332,0.987168
4.70988,0.052572,-0.160524,0.988572
4.71038,0.052572,-0.159198,0.992082
4.71088,0.051090,-0.163722,0.991380
4.71138,0.050232,-0.160602,0.989352
4.71188,0.052806,-0.164658,0.990912
4.71238,0.051636,-0.164658,0.990600
4.71288,0.055614,-0.161616,0.992706
4.71338,0.048672,-0.161850,0.989274
4.71388,0.052572,-0.161850,0.989508
4.71438,0.051090,-0.164034,0.991458
4.71488,0.051792,-0.164580,0.990912
4.71538,0.052026,-0.167310,0.990132
4.71582,0.050856,-0.164190,0.991458
4.71632,0.052572,-0.159978,0.994110
4.71682,0.051636,-0.159588,0.992394
4.71732,0.053040,-0.159822,0.991146
4.71782,0.047190,-0.167154,0.992628
4.71832,0.048282,-0.164190,0.992628
4.71882,0.051246,-0.158730,0.987870
4.71932,0.052338,-0.159822,0.992160
4.71982,0.050310,-0.159588,0.990522
4.72032,0.050622,-0.160212,0.992472
4.72082,0.047502,-0.162006,0.989118
4.72132,0.047736,-0.159666,0.993330
4.72182,0.048126,-0.159588,0.994188
4.72232,0.048048,-0.161538,0.989196
4.72282,0.048594,-0.162006,0.992784
4.72332,0.053430,-0.162786,0.994344
4.72382,0.052104,-0.160602,0.990600
4.72432,0.051948,-0.159978,0.993330
4.72476,0.047268,-0.163332,0.993486
4.72526,0.050934,-0.154440,0.991614
4.72576,0.049296,-0.156624,0.993642
4.72626,0.049686,-0.158808,0.993408
4.72676,0.049686,-0.160134,0.990366
4.72726,0.048828,-0.161304,0.989118
4.72776,0.050856,-0.160836,0.994968
4.72826,0.051090,-0.159744,0.995280
4.72876,0.051324,-0.164268,0.994266
4.72926,0.054522,-0.163956,0.992550
4.72976,0.052416,-0.160446,0.995826
4.73026,0.053664,-0.159510,0.991848
4.73076,0.055224,-0.160602,0.991692
4.73126,0.053040,-0.163176,0.989742
4.73176,0.052962,-0.166608,0.990912
4.73226,0.047190,-0.164658,0.991614
4.73276,0.049686,-0.166374,0.992628
4.73326,0.054210,-0.162084,0.993096
4.73370,0.047892,-0.162942,0.991926
4.73420,0.049374,-0.164268,0.991926
4.73470,0.051324,-0.161460,0.995748
4.73520,0.047190,-0.163098,0.990132
4.73570,0.048594,-0.165750,0.992940
4.73620,0.053040,-0.165516,0.994110
4.73670,0.050856,-0.163176,0.991146
4.73720,0.050622,-0.163332,0.990912
4.73770,0.053508,-0.164268,0.992550
4.73820,0.051324,-0.164658,0.989508
4.73870,0.051012,-0.159042,0.990912
4.73920,0.047892,-0.158730,0.991536
4.73970,0.050154,-0.162864,0.992238
4.74020,0.049296,-0.162864,0.991458
4.74070,0.047970,-0.158730,0.988962
4.74120,0.048282,-0.162396,0.986154
4.74170,0.049842,-0.161928,0.988650
4.74220,0.050466,-0.164580,0.989118
4.74265,0.050544,-0.164970,0.990366
4.74315,0.052884,-0.163176,0.991926
4.74365,0.049920,-0.158028,0.989742
4.74415,0.052338,-0.156624,0.990522
4.74465,0.050544,-0.159900,0.991536
4.74515,0.049920,-0.155688,0.993408
4.74565,0.050700,-0.159120,0.991926
4.74615,0.053196,-0.161460,0.991224
4.74665,0.051168,-0.163176,0.991146
4.74715,0.051168,-0.161616,0.993252
4.74765,0.047580,-0.158418,0.992316
4.74815,0.046488,-0.159276,0.990210
4.74865,0.050622,-0.157560,0.991536
4.74915,0.049842,-0.160524,0.993252
4.74965,0.048048,-0.164034,0.993018
4.75015,0.046332,-0.164034,0.990600
4.75065,0.049842,-0.161148,0.990678
4.75115,0.046644,-0.161304,0.992472
4.75159,0.051324,-0.161070,0.992004
4.75209,0.050466,-0.163254,0.992472
4.75259,0.050232,-0.166452,0.989352
4.75309,0.054522,-0.163254,0.989040
4.75359,0.054054,-0.161382,0.990990
4.75409,0.047502,-0.165204,0.990210
4.75459,0.049608,-0.162864,0.990288
4.75509,0.047580,-0.165984,0.991302
4.75559,0.051168,-0.167076,0.991614
4.75609,0.052728,-0.164268,0.992706
4.75659,0.052416,-0.164502,0.989664
4.75709,0.053586,-0.162162,0.989430
4.75759,0.049218,-0.164034,0.991614
4.75809,0.049374,-0.161850,0.992082
4.75859,0.053430,-0.160446,0.989430
4.75909,0.052338,-0.163332,0.990912
4.75959,0.047424,-0.164970,0.990210
4.76009,0.049998,-0.159588,0.989352
4.76056,0.047892,-0.161226,0.990678
4.76106,0.051168,-0.162864,0.993330
4.76156,0.048984,-0.160212,0.991380
4.76206,0.048984,-0.161850,0.991692
4.76256,0.050544,-0.160992,0.993876
4.76306,0.051870,-0.160758,0.993642
4.76356,0.050388,-0.160446,0.990912
4.76406,0.048438,-0.161772,0.991536
4.76456,0.048282,-0.160602,0.991614
4.76506,0.046488,-0.163800,0.990678
4.76556,0.048204,-0.164736,0.993252
4.76606,0.051714,-0.161226,0.992550
4.76656,0.050778,-0.161148,0.990678
4.76706,0.051324,-0.161148,0.988494
4.76756,0.048750,-0.163566,0.989118
4.76806,0.050310,-0.163956,0.993954
4.76856,0.051402,-0.162474,0.991536
4.76906,0.048048,-0.164580,0.989742
4.76950,0.051948,-0.164580,0.990990
4.77000,0.051636,-0.162006,0.993954
4.77050,0.054054,-0.160602,0.992472
4.77100,0.051948,-0.163176,0.992004
4.77150,0.052416,-0.163254,0.991848
4.77200,0.052494,-0.164424,0.988962
4.77250,0.051870,-0.162006,0.992784
4.77300,0.048984,-0.163878,0.993174
4.77350,0.050856,-0.165282,0.995202
4.77400,0.049764,-0.165048,0.990834
4.77450,0.045942,-0.162162,0.990288
4.77500,0.050544,-0.160368,0.989664
4.77550,0.048204,-0.160290,0.990444
4.77600,0.048516,-0.158886,0.993252
4.77650,0.051090,-0.161382,0.994812
4.77700,0.051168,-0.163488,0.995436
4.77750,0.051636,-0.163566,0.992940
4.77800,0.050232,-0.166764,0.989196
4.77844,0.048984,-0.164502,0.991536
4.77894,0.049296,-0.164346,0.992550
4.77944,0.048438,-0.165594,0.992004
4.77994,0.053274,-0.163098,0.992004
4.78044,0.050076,-0.160680,0.993564
4.78094,0.048360,-0.160914,0.992160
4.78144,0.047424,-0.160914,0.991224
4.78194,0.047658,-0.163332,0.988884
4.78244,0.050622,-0.160446,0.990444
4.78294,0.049842,-0.157482,0.991614
4.78344,0.050232,-0.161148,0.990834
4.78394,0.045396,-0.161850,0.992238
4.78444,0.047190,-0.158418,0.991692
4.78494,0.046800,-0.157560,0.991302
4.78544,0.041964,-0.161226,0.991146
4.78594,0.050232,-0.163332,0.994968
4.78644,0.053742,-0.160368,0.987324
4.78694,0.049608,-0.162474,0.990522
4.78738,0.045474,-0.162474,0.995046
4.78788,0.048126,-0.158184,0.991458
4.78838,0.046098,-0.159588,0.989118
4.78888,0.049062,-0.162084,0.991614
4.78938,0.046956,-0.159666,0.991380
4.78988,0.047424,-0.161226,0.988650
4.79038,0.046956,-0.162786,0.991536
4.79088,0.051792,-0.158262,0.994422
4.79138,0.050310,-0.160056,0.993330
4.79188,0.047502,-0.160758,0.989040
4.79238,0.047268,-0.163410,0.987324
4.79288,0.042822,-0.160134,0.994890
4.79338,0.051012,-0.160446,0.993174
4.79388,0.049686,-0.164658,0.993096
4.79438,0.053118,-0.162786,0.991224
4.79488,0.048906,-0.162318,0.989820
4.79538,0.052806,-0.161382,0.988962
4.79588,0.050232,-0.162864,0.984516
4.79633,0.047034,-0.163566,0.989274
4.79683,0.048594,-0.161694,0.991068
4.79733,0.050388,-0.159120,0.991068
4.79783,0.048204,-0.161382,0.991770
4.79833,0.051948,-0.163800,0.994656
4.79883,0.049686,-0.162630,0.992550
4.79933,0.050622,-0.161772,0.991380
4.79983,0.048438,-0.165204,0.994578
4.80033,0.048126,-0.162240,0.992784
4.80083,0.050700,-0.163644,0.987870
4.80133,0.050310,-0.166842,0.989508
4.80183,0.046098,-0.163410,0.992706
4.80233,0.052494,-0.164814,0.990132
4.80283,0.048984,-0.164424,0.992316
4.80333,0.047892,-0.162318,0.991302
4.80383,0.048828,-0.163800,0.988884
4.80433,0.051792,-0.165204,0.992004
4.80483,0.051402,-0.162708,0.993408
4.80527,0.050388,-0.162708,0.993252
4.80577,0.051948,-0.158652,0.992004
4.80627,0.052182,-0.157092,0.987948
4.80677,0.049296,-0.161148,0.993564
4.80727,0.049530,-0.161070,0.992004
4.80777,0.052260,-0.159900,0.990210
4.80827,0.048204,-0.164112,0.990132
4.80877,0.048048,-0.162630,0.990444
4.80927,0.043992,-0.161772,0.992940
4.80977,0.050700,-0.166374,0.992784
4.81027,0.051792,-0.161538,0.992628
4.81077,0.051714,-0.158028,0.990756
4.81127,0.047502,-0.162942,0.988806
4.81177,0.049764,-0.164190,0.991146
4.81227,0.050076,-0.165672,0.993408
4.81277,0.053196,-0.163332,0.994968
4.81327,0.053742,-0.160680,0.993252
4.81377,0.050856,-0.161850,0.991926
4.81421,0.050544,-0.162552,0.994500
4.81471,0.054366,-0.161070,0.997074
4.81521,0.051870,-0.165204,0.993018
4.81571,0.051246,-0.164268,0.990444
4.81621,0.052962,-0.162552,0.987558
4.81671,0.053196,-0.164112,0.989742
4.81721,0.048282,-0.166140,0.990366
4.81771,0.050544,-0.161538,0.988260
4.81821,0.050778,-0.162084,0.990990
4.81871,0.050778,-0.163332,0.992160
4.81921,0.051558,-0.161382,0.991770
4.81971,0.054366,-0.162240,0.992784
4.82021,0.051402,-0.162474,0.989820
4.82071,0.047970,-0.162474,0.989274
4.82121,0.048984,-0.163176,0.992706
4.82171,0.049452,-0.159276,0.991614
4.82221,0.048516,-0.162162,0.991614
4.82271,0.049218,-0.165282,0.994110
4.82315,0.050778,-0.161928,0.989586
4.82365,0.051870,-0.159198,0.993642
4.82415,0.049062,-0.160056,0.992316
4.82465,0.048984,-0.162942,0.991848
4.82515,0.049608,-0.159276,0.991458
4.82565,0.049920,-0.158808,0.989586
4.82615,0.053976,-0.161772,0.990912
4.82665,0.052962,-0.158262,0.992862
4.82715,0.052962,-0.156624,0.992394
4.82765,0.052338,-0.157638,0.991848
4.82815,0.051246,-0.159042,0.988416
4.82865,0.049842,-0.162942,0.990756
4.82915,0.047112,-0.162006,0.993252
4.82965,0.046722,-0.164112,0.992706
4.83015,0.048438,-0.165438,0.994110
4.83065,0.049998,-0.164580,0.991770
4.83115,0.050778,-0.158730,0.992316
4.83165,0.048828,-0.161304,0.994656
4.83212,0.049998,-0.162552,0.989976
4.83262,0.049998,-0.161226,0.992550
4.83312,0.052026,-0.161538,0.993252
4.83362,0.050700,-0.163254,0.993018
4.83412,0.047736,-0.163878,0.988728
4.83462,0.051636,-0.163254,0.988338
4.83512,0.052650,-0.162318,0.991302
4.83562,0.053040,-0.165360,0.990990
4.83612,0.049920,-0.163410,0.992940
4.83662,0.054288,-0.162942,0.989430
4.83712,0.049998,-0.162708,0.988806
4.83762,0.048360,-0.164424,0.991614
4.83812,0.050778,-0.166998,0.989040
4.83862,0.052026,-0.161616,0.988650
4.83912,0.048828,-0.162786,0.989820
4.83962,0.050778,-0.160368,0.990990
4.84012,0.051480,-0.160212,0.990132
4.84062,0.053508,-0.158574,0.989976
4.84103,0.049608,-0.160758,0.991614
4.84153,0.051168,-0.162942,0.992550
4.84203,0.048984,-0.161850,0.992160
4.84253,0.051870,-0.161694,0.988260
4.84303,0.049296,-0.161382,0.989742
4.84353,0.050310,-0.164034,0.991380
4.84403,0.051480,-0.162240,0.994032
4.84453,0.050076,-0.162240,0.992550
4.84503,0.049764,-0.160758,0.990834
4.84553,0.052884,-0.161928,0.993096
