TotalSeconds	OD-TurningStrainRaw0	OD-TurningStrainRaw1
0.6423267	6938713	8893257
0.6448267	6938973	8893446
0.6473267	6939278	8893674
0.6498267	6939592	8893912
0.6523267	6939878	8894126
0.6548267	6940096	8894279
0.6573267	6940212	8894337
0.6598267	6940207	8894285
0.6623267	6940077	8894124
0.6648267	6939842	8893880
0.6673267	6939538	8893599
0.6698267	6939213	8893337
0.6723267	6938917	8893151
0.6748267	6938691	8893080
0.6773267	6938557	8893134
0.6798267	6938518	8893299
0.6823267	6938558	8893537
0.6848267	6938652	8893800
0.6873267	6938772	8894044
0.6898267	6938895	8894239
0.6923267	6939010	8894372
0.6948267	6939113	8894449
0.6973267	6939202	8894480
0.6998267	6939274	8894476
0.701853	6939321	8894443
0.704353	6939329	8894375
0.706853	6939288	8894265
0.709353	6939187	8894101
0.711853	6939022	8893882
0.714353	6938806	8893620
0.716853	6938565	8893344
0.719353	6938329	8893088
0.721853	6938127	8892882
0.724353	6937973	8892743
0.726853	6937871	8892670
0.729353	6937809	8892642
0.731853	6937767	8892628
0.734353	6937725	8892601
0.736853	6937670	8892543
0.739353	6937604	8892462
0.741853	6937539	8892382
0.744353	6937491	8892334
0.746853	6937478	8892350
0.749353	6937512	8892447
0.751853	6937592	8892620
0.754353	6937712	8892848
0.756853	6937858	8893096
0.759353	6938020	8893330
0.761853	6938196	8893528
0.764353	6938387	8893684
0.766853	6938598	8893806
0.769353	6938829	8893907
0.771853	6939078	8894006
0.774353	6939339	8894114
0.776853	6939599	8894234
0.779353	6939842	8894358
0.781853	6940052	8894471
0.784353	6940219	8894558
0.786853	6940334	8894604
0.789353	6940391	8894599
0.791853	6940389	8894541
0.794353	6940331	8894437
0.796853	6940227	8894309
0.799353	6940095	8894185
0.801853	6939957	8894095
0.804353	6939832	8894065
0.806853	6939741	8894108
0.809353	6939693	8894226
0.811853	6939693	8894404
0.814353	6939734	8894617
0.816853	6939800	8894833
0.819353	6939874	8895023
0.821853	6939937	8895164
0.824353	6939975	8895243
0.826853	6939976	8895257
0.829353	6939939	8895211
0.831853	6939867	8895117
0.834353	6939769	8894988
0.836853	6939651	8894832
0.839353	6939520	8894654
0.8413489	6939381	8894457
0.8438489	6939238	8894247
0.8463489	6939096	8894033
0.8488489	6938958	8893830
0.8513489	6938825	8893649
0.8538489	6938690	8893496
0.8563489	6938554	8893378
0.8588489	6938421	8893294
0.8613489	6938308	8893253
0.8638489	6938245	8893272
0.8663489	6938278	8893384
0.8688489	6938452	8893625
0.8713489	6938795	8894023
0.8738489	6939306	8894579
0.8763489	6939943	8895261
0.8788489	6940629	8895997
0.8813489	6941262	8896690
0.8838489	6941747	8897241
0.8863489	6942015	8897569
0.8888489	6942043	8897644
0.8913489	6941858	8897482
0.8938489	6941520	8897140
0.8963489	6941105	8896695
0.8988489	6940682	8896222
0.9013489	6940299	8895779
0.9038489	6939983	8895396
0.9063489	6939737	8895087
0.9088489	6939564	8894857
0.9113489	6939469	8894713
0.9138489	6939460	8894666
0.9163489	6939542	8894727
0.9188489	6939708	8894886
0.9213489	6939926	8895115
0.9238489	6940145	8895358
0.9263489	6940296	8895541
0.9288489	6940313	8895592
0.9313489	6940153	8895463
0.9338489	6939808	8895142
0.9363489	6939308	8894659
0.9388489	6938719	8894081
0.9413489	6938128	8893497
0.9438489	6937624	8892997
0.9463489	6937277	8892652
0.9488489	6937127	8892499
0.9513489	6937173	8892534
0.9538489	6937375	8892716
0.9563489	6937667	8892977
0.9588489	6937971	8893242
0.9613489	6938214	8893444
0.9638489	6938342	8893533
0.9663489	6938328	8893489
0.9688489	6938171	8893313
0.9713489	6937893	8893030
0.9738489	6937533	8892675
0.9763489	6937134	8892289
0.9788489	6936743	8891911
0.9808752	6936398	8891575
0.9833752	6936132	8891306
0.9858752	6935959	8891120
0.9883752	6935883	8891021
0.9908752	6935896	8891009
0.9933752	6935985	8891080
0.9958752	6936135	8891225
0.9983752	6936336	8891438
1.0008752	6936592	8891717
1.0033752	6936915	8892066
1.0058752	6937314	8892477
1.0083752	6937784	8892933
1.0108752	6938301	8893402
1.0133752	6938818	8893838
1.0158752	6939276	8894192
1.0183752	6939613	8894423
1.0208752	6939786	8894507
1.0233752	6939780	8894451
1.0258752	6939617	8894288
1.0283752	6939342	8894067
1.0308752	6939016	8893842
1.0333752	6938696	8893654
1.0358752	6938421	8893528
1.0383752	6938213	8893462
1.0408752	6938074	8893442
1.0433752	6937999	8893445
1.0458752	6937982	8893457
1.0483752	6938026	8893479
1.0508752	6938140	8893521
1.0533752	6938328	8893597
1.0558752	6938586	8893717
1.0583752	6938897	8893880
1.0608752	6939225	8894064
1.0633752	6939522	8894233
1.0658752	6939740	8894347
1.0683752	6939841	8894373
1.0708752	6939807	8894292
1.0733752	6939640	8894107
1.0758752	6939363	8893836
1.0783752	6939005	8893506
1.0808752	6938603	8893145
1.0833752	6938189	8892778
1.0858752	6937791	8892421
1.0883752	6937431	8892090
1.0908752	6937130	8891800
1.0933752	6936906	8891570
1.0958752	6936772	8891418
1.0983752	6936733	8891357
1.1008752	6936777	8891387
1.1033752	6936879	8891489
1.1058752	6937004	8891628
1.1083752	6937114	8891760
1.1108752	6937181	8891848
1.1133752	6937194	8891869
1.1158752	6937158	8891822
1.1183752	6937094	8891726
1.1204016	6937027	8891612
1.1229016	6936978	8891514
1.1254016	6936953	8891456
1.1279016	6936943	8891443
1.1304016	6936915	8891454
1.1329016	6936830	8891450
1.1354016	6936655	8891381
1.1379016	6936371	8891204
1.1404016	6935986	8890894
1.1429016	6935539	8890461
1.1454016	6935093	8889953
1.1479016	6934727	8889443
1.1504016	6934511	8889020
1.1529016	6934489	8888763
1.1554016	6934667	8888719
1.1579016	6935010	8888892
1.1604016	6935450	8889241
1.1629016	6935904	8889694
1.1654016	6936298	8890169
1.1679016	6936584	8890597
1.1704016	6936747	8890937
1.1729016	6936806	8891185
1.1754016	6936799	8891361
1.1779016	6936770	8891499
1.1804016	6936752	8891628
1.1829016	6936760	8891760
1.1854016	6936790	8891885
1.1879016	6936828	8891984
1.1904016	6936859	8892033
1.1929016	6936880	8892028
1.1954016	6936899	8891976
1.1979016	6936932	8891905
1.2004016	6937002	8891853
1.2029016	6937121	8891852
1.2054016	6937288	8891915
1.2079016	6937480	8892035
1.2104016	6937657	8892178
1.2129016	6937772	8892300
1.2154016	6937786	8892356
1.2179016	6937679	8892319
1.2204016	6937459	8892187
1.2229016	6937163	8891987
1.2254016	6936848	8891769
1.2279016	6936581	8891594
1.2304016	6936419	8891512
1.2329016	6936395	8891554
1.2354016	6936515	8891720
1.2379016	6936755	8891984
1.2404016	6937072	8892304
1.2429016	6937413	8892631
1.2454016	6937732	8892923
1.2479016	6937998	8893159
1.2504016	6938199	8893332
1.2529016	6938341	8893448
1.2554016	6938436	8893519
1.2579016	6938500	8893555
1.259928	6938544	8893558
1.262428	6938567	8893524
1.264928	6938558	8893439
1.267428	6938502	8893292
1.269928	6938383	8893075
1.272428	6938197	8892797
1.274928	6937954	8892482
1.277428	6937686	8892177
1.279928	6937450	8891948
1.282428	6937320	8891874
1.284928	6937375	8892027
1.287428	6937672	8892449
1.289928	6938220	8893126
1.292428	6938975	8893983
1.294928	6939834	8894893
1.297428	6940652	8895693
1.299928	6941275	8896223
1.302428	6941581	8896377
1.304928	6941511	8896122
1.307428	6941087	8895516
1.309928	6940404	8894688
1.312428	6939599	8893798
1.314928	6938822	8893005
1.317428	6938191	8892418
1.319928	6937771	8892081
1.322428	6937567	8891977
1.324928	6937539	8892046
1.327428	6937624	8892215
1.329928	6937760	8892422
1.332428	6937894	8892622
1.334928	6937991	8892789
1.337428	6938031	8892907
1.339928	6938007	8892967
1.342428	6937918	8892963
1.344928	6937763	8892882
1.347428	6937548	8892720
1.349928	6937286	8892485
1.352428	6936995	8892194
1.354928	6936696	8891871
1.357428	6936406	8891544
1.359928	6936146	8891242
1.362428	6935939	8890995
1.364928	6935808	8890832
1.367428	6935779	8890776
1.369928	6935876	8890849
1.372428	6936114	8891059
1.374928	6936490	8891401
1.377428	6936983	8891851
1.379928	6937550	8892369
1.382428	6938138	8892908
1.384928	6938694	8893420
1.387428	6939173	8893868
1.389928	6939545	8894222
1.392428	6939801	8894473
1.394928	6939947	8894618
1.397428	6939998	8894662
1.3994544	6939969	8894607
1.4019544	6939865	8894452
1.4044544	6939682	8894187
1.4069544	6939408	8893805
1.4094544	6939041	8893312
1.4119544	6938595	8892734
1.4144544	6938107	8892122
1.4169544	6937639	8891546
1.4194544	6937272	8891091
1.4219544	6937084	8890836
1.4244544	6937129	8890834
1.4269544	6937417	8891094
1.4294544	6937904	8891576
1.4319544	6938501	8892194
1.4344544	6939090	8892837
1.4369544	6939553	8893391
1.4394544	6939797	8893763
1.4419544	6939784	8893904
1.4444544	6939528	8893817
1.4469544	6939090	8893543
1.4494544	6938557	8893148
1.4519544	6938017	8892704
1.4544544	6937542	8892273
1.4569544	6937180	8891900
1.4594544	6936945	8891608
1.4619544	6936830	8891401
1.4644544	6936814	8891277
1.4669544	6936876	8891232
1.4694544	6936992	8891257
1.4719544	6937135	8891337
1.4744544	6937281	8891453
1.4769544	6937412	8891591
1.4794544	6937512	8891729
1.4819544	6937571	8891851
1.4844544	6937582	8891942
1.4869544	6937544	8891990
1.4894544	6937459	8891989
1.4919544	6937328	8891936
1.4944544	6937153	8891831
1.4969544	6936944	8891684
1.4994544	6936719	8891520
1.5019544	6936514	8891376
1.5044544	6936370	8891299
1.5069544	6936330	8891332
1.5094544	6936429	8891506
1.5119544	6936682	8891833
1.5144544	6937074	8892288
1.5169544	6937563	8892819
1.5194544	6938087	8893355
1.5219544	6938579	8893822
1.5244544	6938985	8894162
1.5269544	6939272	8894348
1.5294544	6939435	8894382
1.5319544	6939492	8894297
1.5344544	6939474	8894141
1.5369544	6939415	8893963
1.5389807	6939337	8893797
1.5414807	6939252	8893658
1.5439807	6939160	8893543
1.5464807	6939052	8893438
1.5489807	6938915	8893317
1.5514807	6938738	8893159
1.5539807	6938515	8892950
1.5564807	6938251	8892690
1.5589807	6937960	8892397
1.5614807	6937670	8892108
1.5639807	6937420	8891876
1.5664807	6937253	8891755
1.5689807	6937199	8891789
1.5714807	6937270	8891986
1.5739807	6937445	8892315
1.5764807	6937676	8892706
1.5789807	6937898	8893065
1.5814807	6938045	8893300
1.5839807	6938071	8893354
1.5864807	6937969	8893217
1.5889807	6937768	8892934
1.5914807	6937528	8892591
1.5939807	6937317	8892282
1.5964807	6937192	8892084
1.5989807	6937182	8892033
1.6014807	6937284	8892116
1.6039807	6937464	8892286
1.6064807	6937676	8892479
1.6089807	6937878	8892639
1.6114807	6938042	8892733
1.6139807	6938157	8892755
1.6164807	6938226	8892722
1.6189807	6938259	8892657
1.6214807	6938266	8892584
1.6239807	6938251	8892516
1.6264807	6938214	8892458
1.6289807	6938156	8892412
1.6314807	6938079	8892376
1.6339807	6937988	8892348
1.6364807	6937888	8892323
1.6389807	6937779	8892291
1.6414807	6937660	8892235
1.6439807	6937524	8892142
1.6464807	6937365	8891997
1.6489807	6937179	8891797
1.6514807	6936970	8891551
1.6539807	6936750	8891281
1.6564807	6936539	8891020
1.6589807	6936357	8890802
1.6614807	6936226	8890657
1.6639807	6936162	8890608
1.6664807	6936175	8890664
1.6689807	6936268	8890819
1.6714807	6936433	8891054
1.6739807	6936655	8891345
1.6764807	6936913	8891659
1.6785071	6937181	8891968
1.6810071	6937431	8892242
1.6835071	6937639	8892462
1.6860071	6937793	8892621
1.6885071	6937891	8892722
1.6910071	6937941	8892769
1.6935071	6937961	8892772
1.6960071	6937973	8892740
1.6985071	6937999	8892683
1.7010071	6938061	8892616
1.7035071	6938174	8892553
1.7060071	6938340	8892512
1.7085071	6938546	8892503
1.7110071	6938763	8892525
1.7135071	6938948	8892565
1.7160071	6939051	8892594
1.7185071	6939030	8892580
1.7210071	6938863	8892501
1.7235071	6938561	8892351
1.7260071	6938168	8892155
1.7285071	6937753	8891961
1.7310071	6937390	8891824
1.7335071	6937138	8891786
1.7360071	6937020	8891864
1.7385071	6937021	8892031
1.7410071	6937090	8892236
1.7435071	6937165	8892408
1.7460071	6937190	8892490
1.7485071	6937138	8892449
1.7510071	6937011	8892288
1.7535071	6936841	8892045
1.7560071	6936674	8891772
1.7585071	6936551	8891522
1.7610071	6936495	8891328
1.7635071	6936503	8891200
1.7660071	6936552	8891126
1.7685071	6936613	8891086
1.7710071	6936658	8891058
1.7735071	6936672	8891035
1.7760071	6936658	8891019
1.7785071	6936628	8891025
1.7810071	6936601	8891064
1.7835071	6936593	8891139
1.7860071	6936606	8891239
1.7885071	6936634	8891343
1.7910071	6936665	8891424
1.7935071	6936685	8891467
1.7960071	6936695	8891473
1.7985071	6936703	8891463
1.8010071	6936726	8891469
1.8035071	6936786	8891522
1.8060071	6936898	8891646
1.8085071	6937069	8891846
1.8110071	6937300	8892113
1.8135071	6937584	8892425
1.8160071	6937909	8892755
1.8180335	6938261	8893079
1.8205335	6938617	8893371
1.8230335	6938941	8893602
1.8255335	6939185	8893737
1.8280335	6939302	8893751
1.8305335	6939262	8893632
1.8330335	6939064	8893397
1.8355335	6938750	8893096
1.8380335	6938403	8892810
1.8405335	6938130	8892634
1.8430335	6938023	8892639
1.8455335	6938133	8892850
1.8480335	6938446	8893228
1.8505335	6938881	8893676
1.8530335	6939315	8894065
1.8555335	6939618	8894274
1.8580335	6939689	8894221
1.8605335	6939490	8893894
1.8630335	6939052	8893353
1.8655335	6938461	8892701
1.8680335	6937831	8892064
1.8705335	6937265	8891547
1.8730335	6936839	8891212
1.8755335	6936582	8891075
1.8780335	6936481	8891102
1.8805335	6936495	8891237
1.8830335	6936576	8891418
1.8855335	6936682	8891595
1.8880335	6936785	8891735
1.8905335	6936866	8891819
1.8930335	6936921	8891845
1.8955335	6936952	8891819
1.8980335	6936964	8891753
1.9005335	6936961	8891661
1.9030335	6936951	8891556
1.9055335	6936943	8891456
1.9080335	6936949	8891376
1.9105335	6936978	8891335
1.9130335	6937035	8891343
1.9155335	6937124	8891410
1.9180335	6937242	8891535
1.9205335	6937386	8891714
1.9230335	6937546	8891932
1.9255335	6937712	8892170
1.9280335	6937874	8892403
1.9305335	6938020	8892608
1.9330335	6938140	8892765
1.9355335	6938223	8892861
1.9380335	6938260	8892891
1.9405335	6938245	8892861
